instruction,context,response,category
How do I redeem a gift card?,Non order related queries,"There are two ways to redeem your Zalando gift card:

- As gift card total:

[REDEEM YOUR GIFT VOUCHER](https://accounts.zalando.com/authenticate?redirect_uri=https%3A%2F%2Fwww.zalando.co.uk%2Fsso%2Fcallback&client_id=fashion-store-web&response_type=code&scope=openid&request_id=E6vQee2WiJ7z+Mip%3A450d08e0-701a-494a-b368-b208c59e077e%3AE6vQee2WiJ7z+Mip&nonce=bc29ffbf-f7a4-446f-bbbd-857d55601273&state=eyJvcmlnaW5hbF9yZXF1ZXN0X3VyaSI6Ii9teWFjY291bnQvZ2lmdHZvdWNoZXJzLz8iLCJ0cyI6IjIwMjQtMDktMTRUMTA6MTY6MTBaIn0%3D&premise=unified_sso_ui&ui_locales=en-GB&zalando_client_id=450d08e0-701a-494a-b368-b208c59e077e&cid=GA1.1.1737651450.1726050971&sales_channel=83c4e87f-6819-41bb-af61-46cddb8453f5&client_country=GB&client_category=fs&view=verify-email)

Enter your gift card's code in the Menu item 'My gift card total' and click on 'Redeem gift card’. The amount will be added to your gift card total and you can redeem it when placing your next order.

Your gift card total can now be used for fashion items (excluding e.g. beauty products and electronics) which are offered by Zalando SE or other sellers on the website within the next five years after the initial purchase.

At checkout: You can also enter your gift card code in the “Add a voucher/gift card” field that appears at checkout. Don’t forget to confirm by clicking on the button 'Redeem'. The gift card amount is then applied for all eligible items to the total amount in the shopping basket.

Would you rather not redeem the gift card? No worries. Click on the 'X' at the bottom right of the price breakdown to undo the operation. However, please note that this is only possible as long as you have not clicked on 'Buy now'.",Gift card and Voucher
What happens to my gift card following a return?,Non order related queries,"Paid for your order in full using a gift card?
In this case, it will be added back to your gift card total on your Zalando account. You can use it for your next order against eligible items. You can check your current available amount at any time under ""Gift cards"".

Have you paid for your order by combining a gift card with a different payment method?
The gift card is valid for fashion items. When you return one or more of these items, you will be refunded to the other payment method selected at checkout when you placed the order. For example, if you used a credit card as well as a gift card, you will be refunded to your credit card and the gift card will be applied to the kept fashion items.

If the gift card amount is larger than the amount used from the other payment method, you will be refunded to your gift card total.",Gift card and Voucher
Gift cards and vouchers general informations,Non order related queries,"* Voucher Codes﻿
Please note that each voucher code may only be used once. The following applies to vouchers from campaigns in our newsletters, magazines, etc:
	* Only one voucher code can be redeemed per order. Vouchers can, however, be used in combination with Gift Cards.
	* Please check the expiry date of your voucher code
	* Certain voucher codes cannot be used to purchase discounted items
	* Voucher codes may only be valid for particular products and categories
	* Voucher codes may have a minimum order value
	* If you send goods back, we reserve the right to not renew the validity of your voucher code
* Gift Cards
	* Gift cards are valid for a limited period of five years from the purchase date.
	* It is possible to use more than one gift card per order (these can also be used in combination with a voucher code) until you reach a maximum amount of £170. The maximum value of Gift Cards that can be used per calendar month is limited to €5,000. The maximum value of Gift Cards that can be connected to your customer account per calendar month is limited to €5,000.
	* After placing an order, any value left on your gift card will stay on your gift card total.
	* Your gift card total can be found in ‘My Account’ under ‘Gift card total’
	* If you return goods that have been purchased with a gift card the amount will be refunded back to your gift card total and you will be able to use it on future orders.
	* Gift card total cannot be exchanged for cash
	* There is no minimum order value for orders placed using a gift card",Gift card and Voucher
How do I buy a gift card?,Non order related queries,"You can buy gift cards for various occasions in the Zalando Gift Card section on Zalando.co.uk.

You have the following options of delivery when purchasing:

1. As a printable PDF file

2. By email

3. By post (delivery takes one or two working days)",Gift card and Voucher
What can I use my gift card for?,Non order related queries,"We have updated our gift card [terms and conditions](https://www.zalando.co.uk/terms-giftcards/).

Your gift card can be used for fashion wearables on the Zalando platform.

When we say ""fashion wearables"" we mean items and textile accessories that bring out the best in you, from your everyday basics to our Designer and Luxury brands, including but not limited to*:

	* Shoes (Footwear)
	* Trousers
	* Sports garments
	* Skirts
	* Dresses
	* Shirts / Tops
	* Jackets
	* Bags / Handbags
	* Hats/Caps
	* Scarves
	* Glasses
	* Gloves
	* Belts
	* Lingerie

There are a few categories that don't fall under “fashion wearables”, such as:

	* Jewellery and watches
	* Home, lifestyle and electronics
	* Sports equipment
	* Travel bags and wallets
	* Beauty and makeup

* Exceptions reserved.

For these categories you can always use your other favourite payment method to make your purchase.

Your gift card is valid for several hundred thousand items you can choose from. You also have the flexibility to combine your gift card to pay for eligible items and use your favourite payment method for those that fall outside its coverage in the same order.

Think fashion, not function when using your gift card and you’ll be amazed by what you can buy!",Gift card and Voucher
Report content on Zalando,Non order related queries,"What is reporting?
Reporting allows you to flag content related to any items and reviews on the Zalando app or website, based on concerns that it might not be in line with applicable laws or our policies.

While we have rigorous checks in place to make sure everything on Zalando is compliant, if you’re concerned about something you found, let us know and we’ll have a look.

What can I report and how?
You can report any item on Zalando, or anything about its details or how it’s shown. You can also report all reviews on Zalando. Look out for the ‘Report’ link marked with a flag icon present on every item details page or for the ‘Report’ button next to the review.

This reporting mechanism is not for content outside of the Zalando website or app — like emails, social media posts, ads or anything else.

What are the reasons for reporting?
You can report items or their related content, or reviews, on legal grounds — if you think they might violate any applicable laws or Zalando policies.

To make it easier to know what counts as legal grounds when reporting items, we’ve created the following categories:

	* Intellectual property and copyrights
	* Wrong or missing information
	* Product safety concerns
	* Environmental concerns
	* Inappropriate content

If you have a legal ground for reporting that’s not covered here, you can tell us about it by entering additional information in the reporting form.

Similarly, we’ve created the following categories when reporting reviews:

	* Intellectual property and copyrights
	* Inappropriate content

Can I report things for other reasons?
Reporting is a way for you to share your concerns about items or their related content or about reviews based on legal grounds. For any other reasons, like issues with your orders and deliveries, please contact our [customer care team](https://www.zalando.co.uk/faq/).

What happens after I report something?
The item or its content, or the review that you report, along with your concerns, will be sent to the relevant team for review. They’ll assess it against applicable laws and Zalando policies to make sure that it’s compliant. If not, they’ll decide what actions to take, like removing the item or its content, or removing the review from Zalando.

Through the process, we’ll share email updates on our decisions and actions, so keep an eye on your inbox.

What if I don’t agree with your decision?
In the email that you get about our decision, you’ll also find a link to contest the decision if you disagree with it. You can do this any time within 6 months of receiving it. In that process, you’ll also be able to give us any additional information that could help us rethink our decision.

Of course, you’ll also have the option to approach any out-of-court settlement body to challenge our decision, or appeal against it in the relevant courts.

What are trusted flaggers?
Trusted flaggers are individuals or organisations who have been recognised as such by the relevant authorities, as defined in Article 22 of the EU Digital Services Act. If you are a trusted flagger, please make sure that the email address you enter in the reporting form is the same as the one you registered with the authorities. We’ll then make sure to process it according to the applicable guidelines.",Ratings and Reviews
What are Ratings and Reviews?,Non order related queries,"You can now read customer reviews on Zalando!

We know shopping online can be challenging, so we want to make this experience as easy as possible for you.

If you want to learn more about submitting reviews and read our Review Guidelines, see our [Terms of Use](https://www.zalando.co.uk/faq/ratings-and-reviews/terms-of-use-for-ratings-and-reviews).",Ratings and Reviews
Where can I see the ratings and reviews?,Non order related queries,"You can see customers’ ratings and reviews directly on the product page!

Our site will feature reviews from other retailers for the same product, which you'll be able to easily identify as third-party reviews in proximity to the review, helping you make an even more informed decision when considering a purchase.

How are overall ratings calculated?
Overall ratings are calculated based on the average of all ratings submitted for a product. This helps give a balanced view of the product’s performance according to all customer feedback.",Ratings and Reviews
How are reviews being moderated?,Non order related queries,"All ratings and reviews are systematically checked by our moderation partner before being uploaded to our website.

Once a review is published on our website, other Zalando customers can report inappropriate content. 
All reports will be validated against our Review Guidelines and actions may be taken. 
For more information on reporting inappropriate content, please see [Report content on Zalando](https://www.zalando.co.uk/faq/ratings-and-reviews/report-content-on-zalando).

How do I report an inappropriate review?
If you come across a review that you believe is inappropriate, you can report it by clicking the ""Report"" button next to the review. Our team will then review the report and take action accordingly.",Ratings and Reviews
What are our Review Guidelines?,Non order related queries,Our Review Guidelines set our standards for reviews that can be displayed on the platform. You can find them in our [Terms of Use](https://www.zalando.co.uk/faq/ratings-and-reviews/terms-of-use-for-ratings-and-reviews).,Ratings and Reviews
Terms of Use for Ratings & Reviews,Non order related queries,"Summary of our Terms of Use for Ratings & Reviews

These Terms of Use for Ratings & Reviews give you an overview of the rules of leaving ratings and submitting reviews and your obligations and rights associated with it.

When and how can I rate or review a product?

We might offer you the option to leave ratings and reviews if you have a customer account and have purchased products eligible for ratings and reviews.

Moderation of reviews :

Every submitted review is subject to moderation. Your review will be published only after it was accepted as in line with our Review Guidelines. If it is not in line with our Review Guidelines and cannot be published, we will inform you about it. Submission of a review does not constitute a claim for publication.

Review Guidelines :

The review shall contain information about the product being reviewed and/or your experience with this product, which can be positive or negative. There are 7 main categories of content which, if found in the review or any additional information provided, will make the review ineligible for publishing or subject to deletion.

Rights of use and liability :

By submitting a review and any optional additional information, you grant us rights to use your review. You are solely liable for the legally impeccable content of your review.

Reporting reviews :

Your review may be reported by other users in case they consider your review to be illegal content. If we find it to be illegal or not in line with our Review Guidelines, we will delete it. If you want to find out more about reporting content, have a look at our FAQ section Report content on Zalando .

Misuse :

If you frequently submit reviews that contain illegal content or are not in line with our Review Guidelines, we can suspend the submission of reviews for you due to misuse. Before suspending, we will issue a warning.

Customer care :

You can contact our customer care team if you have any questions.

Further information :

Your contractual partner is Zalando SE.

1. When and how can I rate or review a product?

1.1. If you have a customer account and you have purchased a product that is eligible for ratings and reviews on the respective local Zalando website, its mobile version or the respective local version of the Zalando app (“ Channels ”), you may have the possibility to leave a rating and review. You can only leave a rating and/or review for a product once. Products from cancelled orders cannot be rated or reviewed. You can only submit a review if you also leave a rating of the product. You must be at least 18 years old.

1.2. Once you submit a rating and/or review, you cannot change it anymore. To request the deletion of your review that was published, please contact our customer care team . If you decide to delete your account, your review will be anonymised instead of being deleted. This means your review will remain published, but it will no longer be associated with your account.

1.3. When leaving a rating and/or a review, you may be asked to provide additional information such as a review title, name, a nickname or fictitious name, and further attributes in order to make your review more useful for other users.

1.4. We do not offer any compensation for leaving ratings or submitting reviews, be it monetary or otherwise e.g. in the form of discounts or any other benefits on our platform.

2. Moderation of reviews

2.1. Any review submitted will be moderated according to our Review Guidelines by our third-party moderator (“ Bazaarvoice ”) and has to be accepted before publishing. In order for your review to be accepted for publication, it needs to comply with our Review Guidelines described below. We usually publish the review within 72 hours. We do not alter reviews. If your review is not in line with our Review Guidelines and therefore cannot be published, we will inform you about it by email. Submission of a review does not constitute a claim for publication.

2.2. By submitting a review, you agree to adhere to our Review Guidelines. You also declare that you are the author of the review and that you have not received compensation, be it monetary or otherwise, for the submission of the review.

2.3. If, after publication of your review, we find that your review is not compliant with applicable laws or our Review Guidelines, we may delete your review.

2.4. For the moderation of your review before publishing, Bazaarvoice uses both technical as well as human validation processing steps.

3. Review Guidelines

3.1. The review shall contain information about the product being reviewed and/or your experience with this product, which can be positive or negative. There are 7 main categories of content which, if found in the review or any additional information provided, will make the review ineligible for publishing or subject to deletion. The review may not contain the following:

3.1.1. personal details , such as: first and/or last name, address, phone number, email address, date of birth, any other unique identifiers like a social security number, credit card number, bank account details, customer number, order number;

3.1.2. mention of the price of the product, unless relevant to the product's value;

3.1.3. comparison between Zalando and its competitors and partners or other brands, shops or retailers, regardless of whether the comparison is positive or negative;

3.1.4. incorrect language , i.e. reviews written in a different language to the language of the Channel;

3.1.5. illegible content , such as reviews that are not clear enough to understand;

3.1.6. irrelevant information , i.e. reviews that are not describing the product or the experience with the product, and instead solely describe shipping, delivery, payment, user account, discounts, order process etc.;

3.1.7. offensive and/or illegal content such as:

a. discriminatory or hateful language , including derogatory statements based on ethnic or national origin, gender, religion, political views, disability, age or sexuality; support for racism, sexism or other discriminatory ideas; shaming of body shape or size (body shaming); hate-based conspiracy theories and misinformation; denial of an individual’s gender identity or sexual orientation; attacks on individuals, including public figures based on their membership in a vulnerable or protected group; mocking or attacking the beliefs, sacred symbols, movements, or institutions of the protected or vulnerable groups;

b. messages of self-injury and harmful behaviour , including comments containing instructions, promotion or reference to self-harm;

c. political extremism , including fascist and far-right related comments and symbols associated with political extremism;

d. adult content , including descriptive or graphic depictions of sexual activity;

e. glorification of violence and use of weapons , including descriptions and depictions of or references to violence and weaponry; explicitly referring, showing or hinting at extremist or terrorist organisations; linking to gangs;

f. defamation of religion , including negative or mocking comments of any registered religion;

g. perpetuation of stereotypes and cultural appropriation , including slurs or caricatures based on stereotypes; implying negative assumptions about people from certain groups; depictions of cultural symbols, iconography, traditions (including the use of language) which are not representative of the user’s own heritage;

h. objectification and exploitation , including sexualization or exploitation of minors (under 18 year olds); sexualization of individuals; descriptions or images that depict lack of consent of an individual, hint at any form of trafficking, sexual or physical exploitation, child labour and forced labour;

i. allude or mention to substance use , including any reference to drugs, including but not limited to hard drugs (e.g. cocaine, heroin, magic mushrooms); content promoting or celebrating the use of alcohol, cigarettes and drugs;

j. inappropriate language , including targeted language that is offensive to women and minorities, and words such as “fuck” as well as other swear words, also implied;

k. intellectual property rights infringements ;

l. content which goes against animal welfare and sustainability principles , such as those expressed in Zalando’s Animal Welfare Policy and Zalando’s Sustainable Sourcing Policy, such as expressing support of animal abuse.

3.2. This list is not exhaustive and refers to text content as well as graphic content, such as images or emojis.

4. Rights of use and liability

4.1. By submitting a review and/or the additional information, you confirm that you are the author of the content of the review and/or have all necessary licences, rights, consents, and permissions to submit the review and hold all rights to the content of the review and its elements, and grant us a non-exclusive, royalty-free, perpetual, worldwide, transferable, free of charge licence to use, reproduce, modify, adapt, publish, translate, distribute, and display your review and the additional information you decided to provide in any form, medium or technology. This licence includes, but is not limited to, the right to display your review, translate your review into other languages, including but not limited to marketing, advertising, promotional and informative purposes and materials, incorporate your review into insights, reports, summaries, articles, or aggregated feedback, including making use of your title, name, nickname or fictitious name. Zalando shall have the right, but not the obligation, to include the title, name, nickname or fictitious name with the review.

4.2. The licence is sublicensable to our third-party moderator Bazaarvoice who we cooperate with for the provision of these ratings and review services.

4.3. You are solely responsible for the content of your review. You are obligated to indemnify and hold harmless Zalando (and its officers, directors, agents, representatives, employees and third-party providers) from all claims and damages and consequential damages of any kind and nature, known or unknown, including attorneys' fees, resulting from non-compliance with the Terms of Use, a violation of the law, and a violation of the rights of third parties.

5. Reporting reviews

5.1. Your review may be reported by other users in case they consider your review to be illegal content. In this case we will check the validity of the concern raised and will assess the review against applicable laws and our Review Guidelines to make sure that it is compliant.

5.2. If we find that your review is not compliant with applicable laws or our Review Guidelines, we will delete your review which we will inform you about. You can contest our decision if you don’t agree with it within 6 months of being informed of the decision. You will also have the option to approach any out-of-court settlement body to challenge our decision, or appeal against it in the relevant courts. If you want to find out more about reporting content, you will find answers in our FAQ section Report content on Zalando . There, you will also find information on contesting decisions restricting visibility of your review.

6. Misuse

6.1. In the event of any instance of misuse, we shall temporarily (or permanently) suspend the submission of reviews. The term “misuse” shall apply if you frequently submit reviews that violate applicable laws or our Review Guidelines. We shall consider all facts and circumstances available to us when assessing instances of abuse, and when deciding as to whether, and if so, for how long, to suspend the submission of reviews. This shall comprise the absolute number of reviews containing manifestly illegal content, the relative proportion of reviews containing illegal content in total, the severity of the instance of misuse, including the type of illegal content, and of its consequences, and – if ascertainable – the intentions being pursued by the person submitting reviews.

6.2. Before suspending the submission of reviews, we shall issue a warning. We shall also inform you about the duration of any possible suspension.

7. Customer care

7.1. For questions please contact our customer care team .

8. Further information

8.1. Your contractual partner is Zalando SE (“ Zalando ”):

Zalando SE

Valeska-Gert-Str. 5, 10243 Berlin

Executive Board: Robert Gentz & David Schneider (both co-chairs of the board), Dr. Astrid Arndt, Dr. Sandra Dembeck, David Schröder

Supervisory Board Chairperson: Kelly Bennett

Registered with the Local Court (Amtsgericht) of Charlottenburg Berlin, HRB 158855 B VAT ID: DE 260543043

WEEE-Reg.-Nr. DE /WEEG-Reg.-No GER: 72754189",Ratings and Reviews
How do I find the right size or fit?,Non order related queries,"As sizes and measurements can vary across, as well as within brands, it can sometimes be difficult to find the right size and fit for you. To help you with your search, Zalando offers the following tools and information:

Shop by Range
We offer a wide variety of sizes and fits which are specific to your needs. By using the filter “Specialty sizes” in the shop you can choose between Plus Size, Petite, Tall, Maternity, and Standard items.

Size recommendation
For some items, you might see suggestions based on your recent purchases and returns, and items you’ve told us fit you well. We also take into account feedback from other customers, and each brand’s particular sizing.

Size & fit
For most items you can view more information on the product page under ‘the Size & fit’ dropdown menu. Here you’ll be able to see what size the model is wearing and the measurements for this size. You can also find a link to the general size guide.

If a brand is using different sizes, you can access the size conversions in the size selector.",Sizing
How do I reset my password?,Non order related queries,"Reset your password. Enter the email address you use for your Zalando account and click send. You'll receive an email with a link to reset your password. Click on the link in the email and you will be prompted to enter a new password.

You can then use your new password to login to your Zalando account.

Please note:
This email may take a couple of hours to reach you and could appear in your spam or junk folder.",My Account
How does Zalando protect my account?,Non order related queries,"We know that security and protection are important to our customers, therefore we continuously improve our security measures. Our website is equipped with protection mechanisms like two factor authorisation to ensure that any data you provide is secure and cannot be accessed by unauthorised parties. We monitor account activity for suspicious behaviour and will alert you if we detect anything out of the ordinary.

You may be asked from time to time to verify your account with a code or logging in again.

What should I do if I see unauthorised activity in my account?
If you believe that your account was misused, please contact our customer care team using one of the contact buttons below so that we can deactivate the account and prevent further misuse. Our specialists will advise you on any further steps.",My Account
How do I update my account information?,Non order related queries,"You can update your account information by following the steps below:

* Delivery address: You can change your delivery and billing address under ‘Addresses' in your account .

* Credit card: you can update your preferred Credit Card during the checkout process.

* Personal data (email address, password, contact data): you can change your personal data such as your email address, password or contact data under ‘Personal details' in my account.

* Fashion Preferences / items you like: You can change your Fashion Preference and items you like under ‘Recommendation preferences' in your account.",My Account
How do I delete my user account?,Non order related queries,"You can delete your user account under ‘Request or delete data' in your account.

Please note that we can only delete your account if:
	* There are no open amounts due

	* You do not have an order that is still within the return period

	* You do not have remaining gift card balance on your account

	* None of your orders are currently in shipment

Will my Lounge by Zalando account also be deleted?
When you delete your Zalando account, your Lounge by Zalando will also be deleted.

Can I use my Zalando account in another country?
Yes, you can use your Zalando account in another country. Just use your existing login details to access a different country's Zalando shop, and add a new billing/shipping address located in the country you're shopping from.",My Account
What should I know about the newsletter?,Non order related queries,"When you subscribe to our newsletter you will get updates on all the latest trends and fashion twice a week. Every Tuesday you will receive a newsletter supplement featuring a special topic on style. You will also be the first to know about new products, discounts, and promotions to take advantage of our latest offers and services.

How can I subscribe to the newsletter?
You can subscribe to our newsletter under ‘Newsletters' in your account.

How can I unsubscribe from the newsletter?
You can unsubscribe from our newsletter under ‘Newsletters' in your account.

Please note:
Before you unsubscribe, please make sure that you do not mark these emails as spam, as this may also block the delivery of other important emails from Zalando (order confirmation, etc).",My Account
How do I create a Zalando account?,Non order related queries,"To create a Zalando account simply follow these steps and you'll soon be ready to order.

1. Click the login icon which can be found on the top right-hand corner of your screen.

2. Enter your email address under 'I'm new here' and click on 'Register'. Then complete all mandatory fields.

3. Once you've completed the registration, you will receive a confirmation email. We suggest that you check the information in this email carefully, to make sure that it is correct.

To confirm your registration, click on the link provided in the email. Once your registration has been confirmed, you can login and start shopping.",My Account
What should I know about phishing emails?,Non order related queries,"Unfortunately, email scams are a serious issue that sometimes affects us too. Known as ‘phishing attacks', in these emails fraudsters impersonate trusted entities, often using elements like a company logo and a familiar layout to deceive users into sharing sensitive information or taking harmful actions. These may for example take the form of fake order confirmation and payment reminder emails.

Please never visit any links or open any attached files in any emails that look suspicious.

Things to look out for:
Spelling errors or grammar inconsistencies: these emails are typically auto-generated or poorly translated.

The sender's address. It should match the domain of the company or entity they claim to represent.

How they address you: For instance, at Zalando, we always use your name (e.g ‘Hello Juan'). If it simply says ""Dear user/client,"" be suspicious!

In addition, before clicking on any links to share any information, you can log in into the official app or website of the company or service they claim to be from and check for notifications there first.

Do you suspect scammers may have got a hold of your personal details?
We recommend that you change your password as soon as possible. To do this, go to 'Change contact data'. Please also check your access details to other important accounts (e.g. online banking) and change these if necessary.

If you have any other questions about email phishing, get in contact with us and we will be glad to help out.",My Account
Why is my web provider recommending that I change my password?,Non order related queries,"According to our Privacy Notice , your credentials are secured on our website and Zalando will never use them for any purpose.

If Google recommends changing your password on our website, this is not related to a Zalando specific data breach. This is a Google Chrome feature that verifies if the password for all websites you log in to has been part of any known breach.

When you logged-in to our website, Google Chrome possibly noticed the password or username you used are potentially exposed in one of the known data breaches.

Please visit Google security blog for more information.

What does it mean that my email/password is on a list of public data breaches?
If we notified you that your registration or login data is on a list of public data breaches, this means that the email/password you entered has been leaked on websites outside of Zalando. In this case, we strongly advise that you change your password on all websites where you use the same set of username and password as a precautionary measure.",My Account
What are Zalando's accessibility functionalities?,Non order related queries,"One of our promises is to offer the best customer experience to the widest audience possible. We are working actively on providing an accessible and usable website. Therefore, we introduced new functionalities to help everyone to enjoy the best of what we can offer.

Our accessibility promise
The UN Convention on the Rights of Persons with Disabilities recognised access to information and communications technologies, including the Web, as a basic human right.

Therefore, we provide on the shop, the product pages and the customer account new functionalities such as alternative text and screen readers to be accessible for everyone, no matter what device or assistive technology our customers are using.

The screen reader and the alternative text functions are forms of assistive technology (AT) useful for people who are visually impaired, illiterate, or have a learning disability. Thanks to a voice over function, people can have a vocal description of a page, a specific text, the product images and the links they click on towards the Zalando website.

We have successfully made these parts of the website accessible and we are currently working on offering the same level of usability to other parts of the website very soon.

As of now, our website contains accessible functionalities. If you are using the Zalando app and want to enable the accessible mode, please visit our website.

How can I enable screen readers on Zalando?
You can test the screen readers on the Zalando website by installing one of the following app/ plugin to your browser:

* VoiceOver macOS & iOS

* ChromeVox Chrome plugin

* NVDA Windows

* JAWS only paid, not available for free.",My Account
How do I request my data?,Non order related queries,"Requesting your data
If you would like to see your order history, the saved addresses for your orders, or view or adjust your liked items, please go to your account page. You will also be able to check and adjust the information that is saved for you favourite brands or your preferred sizes, and manage newsletter or mailing subscriptions in this section of the website.

If you would like to request a downloadable file of your account data that includes contact information, order history, liked items and an overview of when and how you may have contacted us, you can do so in your account . Once the file is ready, we will send it to you via email. This can take up to one month but usually you should receive your data earlier.

What information is in my data report?
Your data report will contain an overview of your account and log-in information, order overview, personalisation preferences, and liked items. It also includes information about data retention periods and third-party sharing.

What if my data file failed to download?
If you requested your file and it fails to download, it could be because the link has expired. The download link is only valid for 30 days after it is received. After this, you will need to submit a new request.

If your download link is valid but failed to download, it could be due to a network issue, a problem with your browser, or an issue on the server side. In such cases, check your internet connection or try opening it using a different device or browser. If that is unsuccessful, please submit a new request.

What format will my data come in?
The email we send you will contain two different reading formats: ZIP and HTML. The HTML file provides a user-friendly visualisation of your data that is viewable in any web browser. The ZIP file contains CSV files with your data in a machine-readable format, suitable for analysis or processing in applications like Excel.

Why is an email code needed to download my report?
When you download your report, we send a unique code to your email as an additional security step. You will need to enter this code to complete your download. This is to ensure it's you accessing your information, and to keep your personal details safe and secure.",My Account
How can I better protect my account?,Non order related queries,"The easiest way to protect your account is by choosing a strong password. Here are a few recommendations:

* Make it long. Using long passwords is critical to password strength. An 8-character password will take anywhere from a few minutes to a few weeks to crack while a 16-character password will take a minimum of 34.000 years to crack.

* Use lower and upper case letters, numbers, and special characters. The password that strong would take 2 minutes to crack while it would take 3 weeks for attackers to crack the password H0wStr0!g

* Do not reuse passwords. Reusing the same password for multiple accounts is dangerous as it makes you vulnerable to credential stuffing attacks, which take leaked credentials from one site/service and use them on other sites/services. It's as if you had multiple houses and used the same lock and key for all of them.

* Make your passwords random . Do not include words related to your personal information in your passwords as it would give an advantage to attackers.

* Use a password manager. A password manager is an application that helps you create, store, and manage unique passwords. It is the easiest and most secure way to accomplish this.

If you have any questions or concerns about data protection please contact our Privacy team: privacy@zalando.co.uk

You can also contact our Data Protection Officer directly in the following postal address indicating that it is “to the attention of Data Protection Officer”:

Data protection Zalando SE

Valeska-Gert-Straße 5

10243 Berlin

Germany

Telefax: +49 (0)30 2759 46 93",My Account
How does the Fashion Assistant work,Non order related queries,"What can the Fashion Assistant help me with?
You can ask the assistant anything related to fashion and beauty. It can help you find the right products on Zalando that you'll love, as well as provide advice on fashion and beauty questions. Just let it know what you're looking for or what you need help with!

How does the Fashion Assistant work?
You can open the Fashion Assistant from the homepage, the catalogue, or the product detail page by clicking the Fashion Assistant icon. The assistant is integrated with a publicly available interface from the company OpenAI (the creator of ChatGPT). When you ask the Zalando Fashion Assistant a question, it forwards this question to the interface from OpenAI. The machine learning technology from OpenAI will analyse your questions and reformulate your input in a way that Zalando can provide fitting product recommendations based on your questions. Your chat history will not be saved in your customer profile, but you can access your last chat in the assistant for 20 minutes after the chat ended. After this you can always start a new chat by clicking on the Fashion Assistant icon again.

Can I also talk to a human to get advice?
The fashion Assistant is not supported by a human advisor. It is meant to be a machine learning-based advisor which uses data and algorithms to provide guidance in fashion. If you want personal style advice you can use the Zalando Plus Style advice or in case you have order specific questions, please reach out to our customer service.

If the Fashion Assistant is not human, then how does the Assistant make an assessment?
The assistant relies on your questions as well as OpenAI’s special abilities to find appropriate answers, to produce suitable recommendations for your needs.

How do you ensure that answers are fair and correct?
The fashion assistant responds to the concrete content of your request and makes the assessment on that basis and Zalando’s openly and neutrally worded instructions to OpenAI. But please keep in mind that machine learning based answers can always be subjective, even wrong sometimes and may include some biases.If you would like to learn more about the embedded OpenAI model, please have a look at the policies of OpenAI which are available on https://openai.com/policies.

How can I get back to my last chat?
You can get back to your previous chat by clicking on the assistant icon on the same device. However, it will only be available for 20 minutes after you wrote your last chat message.

Will my chat data be shared with someone outside of Zalando?
The Fashion Assistant utilises the information you provide within the chat and shares it with OpenAI in order to generate the most suitable answers to your questions. However, OpenAI will not have access to your Zalando customer account data and will not use your chat to train their model.

Who can I contact in case I experience problems?
If you experience any problems, please contact our customer support team.",My Account
Inactive accounts,Non order related queries,"Why am I receiving this email?

This email is sent to customers who have not placed orders over the last 5 years and haven't visited any of Zalando's websites in the last 13 months. It is one of the measures we take to treat your data responsibly and comply with GDPR.

I am also a Zalando Lounge customer. Can I delete only one of my accounts?

All of Zalando's shops use the same account, so by deleting your account, you will not be able to access any of them.

Can I delete only my web or app account?

No. The account used in the web and in the application is the same.

Can I register again after deleting my account?

Yes, you can create a new account, using the same email address.

I don’t want my account deleted, what should I do?

You can simply click on the link in the email you received. Logging into your account will also signal that we should keep your data.

I’ve changed my mind, can I get my account recovered?

If the date indicated in the email has not yet come, yes, you can let us know via the link in the message and we will keep your account. Unfortunately, after the deletion is triggered, we have no way to recover the account and you will need to create a new one. All associated data is also deleted automatically.",My Account
About Zalando,About Zalando,"As a leading European online platform for fashion and lifestyle we deliver to customers in 25 countries. In our fashion store, they can find a wide assortment from more than 6,000 brands.",About us
Who we are ?,About Zalando,"We have grown from a pioneer in e-commerce to building the leading pan-European ecosystem for fashion and lifestyle e-commerce.
Founded in 2008 in Berlin, Zalando is building the leading pan-European ecosystem for fashion and lifestyle e-commerce.",About us
What we do ?,About Zalando,"As an online platform for fashion and lifestyle, we connect customers, brands and partners.",About us
